2023-04-09 08:26:15.147 INFO  c.I.J.JpaHibernateInmApplication - Starting JpaHibernateInmApplication using Java 17.0.1 with PID 2868 (C:\Users\LAP-4\Documents\web-apps\JPAHibernateINM\JPAHibernateINM\target\classes started by LAP-4 in C:\Users\LAP-4\Documents\web-apps\JPAHibernateINM\JPAHibernateINM)
2023-04-09 08:26:15.152 INFO  c.I.J.JpaHibernateInmApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-09 08:26:15.741 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-04-09 08:26:15.799 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 51 ms. Found 2 JPA repository interfaces.
2023-04-09 08:26:16.241 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-09 08:26:16.249 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-09 08:26:16.250 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-04-09 08:26:16.251 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-09 08:26:16.329 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-09 08:26:16.329 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1134 ms
2023-04-09 08:26:16.470 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-04-09 08:26:16.528 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-04-09 08:26:16.658 WARN  org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.validation.mode], use [jakarta.persistence.validation.mode] instead
2023-04-09 08:26:16.800 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-04-09 08:26:17.146 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@653a5967
2023-04-09 08:26:17.147 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-04-09 08:26:17.261 INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
